bins,alert,Eureka,CB
185,2.899520489846883e-15,6.870953453964532e-15,1.8588417576480624e-14
186,2.8077516779347235e-15,6.696844829274379e-15,1.8754299439826398e-14
187,2.696394152622772e-15,6.493572193867412e-15,1.794247435668306e-14
188,2.5778213219630933e-15,6.603711027727834e-15,1.777519033030785e-14
189,2.637490878465432e-15,6.519972189999046e-15,1.6268799418887177e-14
190,2.4916305627595977e-15,6.209486883853362e-15,1.6163246460717403e-14
191,2.523285496492701e-15,6.124241037772268e-15,1.5715969380675213e-14
192,2.4754663139361665e-15,6.174204588877461e-15,1.498379280807059e-14
193,2.527910919258728e-15,5.9163510335918594e-15,1.4807407165655027e-14
194,2.49594668698676e-15,5.690606249438533e-15,1.440865223911944e-14
195,2.342712881646175e-15,5.950198504418338e-15,1.3433405243716904e-14
196,2.3561473899493937e-15,5.383717773408195e-15,1.3204062324129186e-14
197,2.306983533363052e-15,5.7365800596778306e-15,1.3066223358880123e-14
198,2.197398316742443e-15,5.2646430695095854e-15,1.284336032960666e-14
199,2.2183270480401804e-15,5.1758285811462005e-15,1.2109267483034414e-14
200,2.164427089641546e-15,5.221142282163267e-15,1.1774256691809288e-14
201,2.1808633449374014e-15,5.0661683374149394e-15,1.1480138786891873e-14
202,2.1511060446808248e-15,4.944750585157178e-15,1.106180897582805e-14
203,2.0100408163006325e-15,4.663798019332709e-15,1.1227498172425992e-14
204,2.0227162699001236e-15,4.713567186053011e-15,1.098309182846445e-14
205,2.034248256891887e-15,4.731803225890754e-15,1.0255320708535756e-14
206,1.909870447182284e-15,4.647800923810331e-15,1.0214526959833119e-14
207,1.8790964696021285e-15,4.5692415200548375e-15,9.766962020433744e-15
208,1.882319528652638e-15,4.544152375473686e-15,9.557964095487094e-15
209,1.886218727516426e-15,4.329401240289137e-15,9.291704130007239e-15
210,1.8144302925604628e-15,4.237071642031014e-15,9.07940756812442e-15
211,1.7616320339939716e-15,4.100651015369588e-15,8.671955520175162e-15
212,1.7683719839603397e-15,4.166328275762368e-15,8.621646690938969e-15
213,1.7107193349771239e-15,4.044631058178119e-15,8.31686637272032e-15
214,1.708177741686478e-15,3.955045448048988e-15,8.114248330965206e-15
215,1.668124754245718e-15,3.887126684721468e-15,7.855206117212203e-15
216,1.6590394672660794e-15,3.636124055673203e-15,7.461278043078073e-15
217,1.5843017219440045e-15,3.6802891369047e-15,7.437858751533493e-15
218,1.526831120170127e-15,3.719134069643786e-15,7.27560816370411e-15
219,1.5349386582214593e-15,3.574694657990096e-15,7.193501017531414e-15
220,1.567453377061866e-15,3.5312638779949094e-15,7.058974812359023e-15
221,1.4867421928117884e-15,3.504685593371144e-15,6.724994303342406e-15
222,1.4855072942363338e-15,3.3916579285061912e-15,6.770442293812725e-15
223,1.50929559070037e-15,3.3402721776262976e-15,6.3810134779202646e-15
224,1.4023099996521207e-15,3.2365497646018494e-15,6.485637840140251e-15
225,1.3256358025864283e-15,3.1597828990263986e-15,6.2027448267543835e-15
226,1.3660256400625531e-15,3.1678158103914768e-15,5.8418662780841695e-15
227,1.3670009607802317e-15,3.0763013980730263e-15,5.896719748378285e-15
228,1.3294774392738369e-15,3.003938915525917e-15,5.846578541662471e-15
229,1.3179247722858166e-15,2.914107984172947e-15,5.774568880489648e-15
230,1.2524148486824702e-15,3.0064003806969283e-15,5.583116886483109e-15
231,1.2162649325872607e-15,2.917778436537216e-15,5.485738122147296e-15
232,1.1801857982043139e-15,2.8647180145981173e-15,5.284930579698561e-15
233,1.1932684988667006e-15,2.7194480646634826e-15,5.269713141270449e-15
234,1.1891548169844572e-15,2.6813343609557138e-15,5.2208460892447236e-15
235,1.1568731409180614e-15,2.7441210031726833e-15,4.742809675055068e-15
236,1.1505818593486596e-15,2.608280553244042e-15,4.789467586338581e-15
237,1.1273746922699918e-15,2.5434003097075943e-15,4.687701347464227e-15
238,1.1035958822382985e-15,2.5431247078419595e-15,4.612686211497366e-15
239,1.0624013522464276e-15,2.5161508224824312e-15,4.450958277218281e-15
240,1.0598423826458857e-15,2.419563184558396e-15,4.3240789954001466e-15
241,1.0182654909071925e-15,2.391313043138312e-15,4.218526366353212e-15
242,1.000842716038144e-15,2.3921360533031915e-15,4.050184522188735e-15
243,1.0285063785300028e-15,2.3315685524504666e-15,4.082397999736337e-15
244,9.799960118779627e-16,2.306486703679278e-15,3.829699345405878e-15
245,9.512618807145864e-16,2.3178588212453143e-15,4.0169584761551306e-15
246,9.88567642238409e-16,2.1835462488461154e-15,3.810155094201295e-15
247,9.268998771991538e-16,2.137462811525621e-15,3.694210588811586e-15
248,9.37149246949074e-16,2.1628875693784947e-15,3.612803443876767e-15
249,8.888103680902704e-16,2.1094142166351755e-15,3.511671725637405e-15
250,8.82424286493145e-16,2.1039084405174294e-15,3.4380962016009047e-15
251,8.812348288826135e-16,2.0251980958155625e-15,3.3582224103278355e-15
252,8.538694637390352e-16,1.9605482153942437e-15,3.274520977224888e-15
253,8.463615158282607e-16,1.974067945052869e-15,3.217330577503716e-15
254,8.172172121715185e-16,1.9457155236151693e-15,3.159401753460509e-15
255,8.093340607203716e-16,1.8806965289396714e-15,3.1306595679753833e-15
256,8.083716934584492e-16,1.834663416562521e-15,3.0371241028011315e-15
257,7.906207714819971e-16,1.850358084018542e-15,2.9684210868161783e-15
258,7.865890272540713e-16,1.770583101577943e-15,2.8319919334916097e-15
259,7.631677364053867e-16,1.7418740317578023e-15,2.839596637714895e-15
260,7.479402101774091e-16,1.6798571185587706e-15,2.746583223273494e-15
